COLUMN_COUNTER,COLUMN_NAME,OCCURRENCE_COUNT,FOUND_IN_TABLES
210,R8VERT,1,XROLLPRODRG
211,R9AXIAL,1,XROLLPRODRG
212,R9DIAM1,1,XROLLPROF
213,R9DIAM2,1,XROLLPROF
214,R9VERT,1,XROLLPRODRG
215,RATEFURN1DP,1,XROLLPRODS
216,RATEFURN1DPMAX,1,XROLLPRODS
217,RATEFURN2DP,1,XROLLPRODS
218,RATEFURN2DPMAX,1,XROLLPRODS
219,RATEPRODUNLOAD,1,XROLLPRODS
220,REFRENDTECH,1,XROLLPRODS
221,REMARK,1,XROLLPRODRG
222,REMARKD3,1,XROLLPROF
223,REMARKD4,1,XROLLPROF
224,ROLLGRADE,1,XROLLPRODRG
225,ROLLINDRV,1,XROLLPROF
226,ROLLINOP,1,XROLLPROF
227,ROLLOUT,1,XROLLPROF
228,ROLLPINCH,1,XROLLPROF
229,RSVCALC,1,XROLLPRODS
230,RTIN,1,XROLLPROF
231,SA,1,XROLLPROD
232,SAMEAIM,1,XROLLPROD
233,SAMEMAX,1,XROLLPROD
234,SAMEMIN,1,XROLLPROD
235,SAPPROFIL,1,XROLLPROD
236,SB,1,XROLLPROD
237,SB12B3MIN,1,XROLLPROD
238,SCHKANGLEAIM,1,XROLLPROD
239,SCHKANGLEMAX,1,XROLLPROD
240,SCTRLROLL1,1,XROLLPROD
241,SCTRLROLL2,1,XROLLPROD
242,SDIST1,1,XROLLPROD
243,SDIST2,1,XROLLPROD
244,SDIST3,1,XROLLPROD
245,SDIST4,1,XROLLPROD
246,SDIST5,1,XROLLPROD
247,SDIST6,1,XROLLPROD
248,SDIST7,1,XROLLPROD
249,SDIST8,1,XROLLPROD
250,SDIST9,1,XROLLPROD
251,SECTIONALAREA,1,XROLLPROD
252,SEMISTYPE,1,XROLLPRODS
253,SHAPE,1,XROLLPROF
254,SPDDRESS,1,XROLLPROF
255,SPDIN,1,XROLLPROF
256,SPDMAXINA,1,XROLLPROF
257,SPDMAXINB,1,XROLLPROF
258,SPDMAXINC,1,XROLLPROF
259,SPDMAXIND,1,XROLLPROF
260,SPDMAXINE,1,XROLLPROF
261,SPDMAXINF,1,XROLLPROF
262,SPDMAXOUTA,1,XROLLPROF
263,SPDMAXOUTB,1,XROLLPROF
264,SPDMAXOUTC,1,XROLLPROF
265,SPDMAXOUTD,1,XROLLPROF
266,SPDMAXOUTE,1,XROLLPROF
267,SPDMAXOUTF,1,XROLLPROF
268,SREMARK,1,XROLLPROD
269,STDLOC,1,XROLLPROD
270,STR1AIM,1,XROLLPROD
271,STR1MAX,1,XROLLPROD
272,STR1MIN,1,XROLLPROD
273,STR3AIM,1,XROLLPROD
274,STR3MAX,1,XROLLPROD
275,STR3MIN,1,XROLLPROD
276,SWGT4LENINCAME,1,XROLLPROD
277,SWGT4LENINCTR1,1,XROLLPROD
278,SWGT4LENINCTR3,1,XROLLPROD
279,SWGT4LENPERCAME,1,XROLLPROD
280,SWGT4LENPERCTR1,1,XROLLPROD
281,SWGT4LENPERCTR3,1,XROLLPROD
282,SWIDTHAIM,1,XROLLPROD
283,SWIDTHEXT,1,XROLLPROD
284,SWIDTHSTD,1,XROLLPROD
285,SXMAX,1,XROLLPROD
286,SYMAX,1,XROLLPROD
287,TEMPMAXD3,1,XROLLPROF
288,TEMPMAXD4,1,XROLLPROF
289,TEMPMIND3,1,XROLLPROF
290,TEMPMIND4,1,XROLLPROF
291,TEMPMODEL,1,XROLLPRODS
292,THEOLENGAIN,1,XROLLPRODS
293,THICKSD,1,XROLLPROD
294,THICKW,1,XROLLPROD
295,TMPDRESSMAX,1,XROLLPROF
296,TUBIDD3,1,XROLLPROF
297,TUBIDD4,1,XROLLPROF
298,URLSCHEME,1,XROLLPROD
299,USEMAXROLL,1,XROLLPROF
300,VISSERTR1A,1,XROLLPROF
301,VISSERTR1B,1,XROLLPROF
302,VISSERTR1C,1,XROLLPROF
303,VISSERTR1D,1,XROLLPROF
304,VISSERTR1E,1,XROLLPROF
305,VISSERTR1F,1,XROLLPROF
306,VISSERTR3A,1,XROLLPROF
307,VISSERTR3B,1,XROLLPROF
308,VISSERTR3C,1,XROLLPROF
309,VISSERTR3D,1,XROLLPROF
310,VISSERTR3E,1,XROLLPROF
311,VISSERTR3F,1,XROLLPROF
312,WEIGHT4LENC,1,XROLLPROD
313,WEIGHT4LENH,1,XROLLPROD
314,WIDTH,1,XROLLPROF
